variant,class_name,count,mean_confidence,max_confidence
Bicubic,elephant,1,0.6323162913322449,0.6323162913322449
Bicubic,frisbee,1,0.5687398314476013,0.5687398314476013
Bicubic,keyboard,1,0.7868863940238953,0.7868863940238953
Bicubic,parking meter,1,0.7982932925224304,0.7982932925224304
Bicubic,pizza,1,0.7187891006469727,0.7187891006469727
Bicubic,remote,1,0.9265419840812683,0.9265419840812683
Bicubic,surfboard,1,0.670491099357605,0.670491099357605
Bicubic,teddy bear,1,0.9186251163482666,0.9186251163482666
Bicubic,tennis racket,1,0.8984131217002869,0.8984131217002869
Bicubic,train,1,0.9107041358947754,0.9107041358947754
Bicubic,truck,1,0.840726375579834,0.840726375579834
HR,person,12,0.8159155771136284,0.937942385673523
HR,bird,11,0.509628415107727,0.9241238832473755
HR,wine glass,4,0.8006176501512527,0.8414456248283386
HR,cow,3,0.8004640142122904,0.8683156967163086
HR,dining table,3,0.4895587960879008,0.8652468323707581
HR,sports ball,3,0.7213902870814005,0.8665955066680908
HR,tie,3,0.8039350112279257,0.9253118634223938
HR,zebra,3,0.5984350542227427,0.8873862624168396
HR,baseball bat,2,0.5570330768823624,0.6786492466926575
HR,bear,2,0.7610779106616974,0.9472744464874268
HR,bottle,2,0.7634997665882111,0.8857108354568481
HR,motorcycle,2,0.7838965654373169,0.8811242580413818
HR,teddy bear,2,0.5804602056741714,0.813220739364624
HR,train,2,0.715523287653923,0.9487762451171875
HR,airplane,1,0.9001798629760742,0.9001798629760742
HR,bicycle,1,0.6773245930671692,0.6773245930671692
HR,broccoli,1,0.6795535683631897,0.6795535683631897
HR,car,1,0.5375271439552307,0.5375271439552307
HR,carrot,1,0.3809770941734314,0.3809770941734314
HR,cup,1,0.28161826729774475,0.28161826729774475
HR,elephant,1,0.8801156282424927,0.8801156282424927
HR,fork,1,0.6787755489349365,0.6787755489349365
HR,frisbee,1,0.4771406054496765,0.4771406054496765
HR,keyboard,1,0.8422561883926392,0.8422561883926392
HR,laptop,1,0.2786688804626465,0.2786688804626465
HR,parking meter,1,0.6569519639015198,0.6569519639015198
