variant,category_id,class_name,num_gt,num_predictions,AP50,precision,recall
DetectionAware_Thr1035_Beta15,39,baseball bat,4,3,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,40,baseball glove,8,1,0.125,1.0,0.125
DetectionAware_Thr1035_Beta15,41,skateboard,13,4,0.3076923191547394,1.0,0.3076923191547394
DetectionAware_Thr1035_Beta15,42,surfboard,3,1,0.3333333432674408,1.0,0.3333333432674408
DetectionAware_Thr1035_Beta15,43,tennis racket,14,1,0.0714285746216774,1.0,0.0714285746216774
DetectionAware_Thr1035_Beta15,44,bottle,11,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,46,wine glass,13,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,47,cup,9,2,0.1111111119389534,0.5,0.1111111119389534
DetectionAware_Thr1035_Beta15,48,fork,1,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,49,knife,3,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,50,spoon,1,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,51,bowl,3,1,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,52,banana,2,2,0.25,0.5,0.5
DetectionAware_Thr1035_Beta15,60,donut,13,4,0.3076923191547394,1.0,0.3076923191547394
DetectionAware_Thr1035_Beta15,62,chair,49,14,0.1259475227868938,0.5714285969734192,0.16326530277729034
DetectionAware_Thr1035_Beta15,64,potted plant,7,2,0.0714285746216774,0.5,0.1428571492433548
DetectionAware_Thr1035_Beta15,67,dining table,21,1,0.0476190485060215,1.0,0.0476190485060215
DetectionAware_Thr1035_Beta15,72,tv,2,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,75,remote,7,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,77,cell phone,2,1,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,78,microwave,1,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,79,oven,2,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,82,refrigerator,2,1,0.5,1.0,0.5
DetectionAware_Thr1035_Beta15,85,clock,6,3,0.5,1.0,0.5
DetectionAware_Thr1035_Beta15,86,vase,1,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,88,teddy bear,6,0,0.0,0.0,0.0
